id,name,description,unit_price,merchant_id,created_at,updated_at
1,OneThing,a car thing that does stuff,900,1,2018-07-22,2018-07-22
2,TwoThing,a bike thing that does stuff,1000,2,2018-07-22,2018-07-22
3,ThreeThing,a scooter thing that does stuff,1100,2,2018-01-22,2018-07-22
4,FourThing,a skateboard thing that does stuff,1200,3,2018-03-22,2018-07-27
5,FiveThing,a boat thing that does stuff,1300,3,2018-02-23,2018-06-22
6,SixThing,a kayak thing that does stuff,1400,3,2018-04-22,2018-07-12
7,SevenThing,a longboard thing that does stuff,1500,4,2018-04-22,2018-07-12
8,EightThing,a spaceship thing that does stuff,1600,4,2018-04-22,2018-07-12
9,NineThing,a Tesla thing that does stuff,1700,4,2018-04-22,2018-07-12
10,TenThing,a satellite thing that does stuff,1800,4,2018-04-22,2018-07-12
11,ElevenThing,a canoe thing that does stuff,1900,5,2018-04-22,2018-07-12
12,TwelveThing,a space whale thing that does stuff,2000,5,2018-04-22,2018-07-12
13,ThirteenThing,a rocket thing that does stuff,5000,5,2018-04-22,2018-07-12
