id,name,description,unit_price,merchant_id,created_at,updated_at
263402963,"Peinture sur bois - carré, couleurs - 50 x 50 cm","peinture sur bois
originale, signée et datée 
issu du projet &quot;coulures&quot;

Support : bois

Outil : peinture acrylique

Taille : 50 x 50 cm 

Livraison : soigneusement enroulé de papier bulle et de carton


Chaque article (dessin, peinture, tissage, objet) est réalisé à la main dans mon atelier. 
Le travail manuel permet d&#39;obtenir des exemplaires uniques, ainsi vous achèterez des articles singuliers et originaux à offrir ou à garder pour soi.",25000,12334411,2016-01-11 12:29:33 UTC,1975-09-22 01:18:53 UTC
263403127,Knitted winter snood,"Comfortable and elegant snood will make you feel cozy and will warm up your mood with bright colors
Composition: wool 50%, acrylic 50%
In different colors availible",4900,12334403,2016-01-11 12:33:41 UTC,2008-05-12 14:00:24 UTC
263403571,Collection Jade,"Composition :
2 lanières cuir veau 5 mm, relié par un intercalaire en métal martelé plaqué argent, monté sur un fermoir aimanté en métal plaqué argent.

Coloris disponibles : noir, gris, taupe, blanc, blanc cassé, pistache, kaki, anis, vert, violet, fuchsia, orange, jaune, rouge, prune, cognac, came, marron, turquoise, bleu dur, marine, or, argent.

Chez Myou vous pouvez personnaliser votre bracelet ! Rendez-vous sur la page produit “Coloris disponibles pour personnalisation“ afin de choisir vos couleurs de cuirs de 5mm !

Attention ! La fermeture aimantée est déconseillée aux personnes munies d&#39;un pacemaker.
Garantie sans nickel. Fabrication artisanale française.",2500,12334455,2016-01-11 13:01:22 UTC,1993-02-14 17:56:41 UTC
263403749,INFRAROUGE,"Bibliothèque, meuble & sculpture à la fois, pièce unique réalisé par un designer en collaboration avec un artiste peintre, autoportante et démontable. Crée une séparation dans un salon.
Médium et peinture",300000,12334443,2016-01-11 12:51:31 UTC,1987-12-07 02:09:06 UTC
263403819,Foreign wax cord style,"freesize-northern style bracelets.
Locals believe that the bracelets can bring power and success.",86000,12334371,2016-01-11 13:32:00 UTC,1983-11-22 20:19:41 UTC
263404585,Thukdokhin wax cord,"width 2.5 cm, change size by slide , weight 23 g",72000,12334371,2016-01-11 13:32:00 UTC,2011-01-21 23:59:14 UTC
263404895,Small wonky stoneware pot,"A small stoneware pot that could be used for a number of purposes; drinking espresso, storing little collectables such as buttons, holding pencils. 
Specific clay: unsure but it has a gitty texture
Height: 6cm
Diameter 6cm",500,12334609,2016-01-11 13:10:56 UTC,2012-04-20 11:42:02 UTC
263405233,"Custom made paper backdrop for a woodland, boho, rustic  wedding, party or photoshoot","This listing is for a backdrop made to cover a 12ft x 8ft surface. The backdrop is made from white water paper cones and brown twine.

The order includes 45 individual strands, which measure between 4ft- 9ft.  The gaps between the water cones vary, giving the backdrop a beautiful flowing effect. 

The backdrop is delivered assembled and ready for you to install at your chosen location.

This backdrop is perfect for weddings, set designs, boutique store front or at special event&#39;s backdrop for photos.

Custom requests are most welcome. I will happily make a backdrop to suit your needs. 

If you have any questions, please do not hesitate to contact me.",4999,12334193,2016-01-11 13:11:07 UTC,1984-01-28 22:49:43 UTC
263405559,Linnen Tafelkleed &#39;Non posso vivere di vento&#39;,"Roomwit linnen tafelkleed van 1.90 bij 1.30 m met rood geborduurde tekst
&#39;Non posso vivere di vento&#39;.  

Dit kleed maakt deel uit van een serie linnen tafelkleden en vintage linnen tafellopers met bekende Nederlandse spreekwoorden die losjes vertaald zijn naar het Italiaans of Engels.
• Ik kan niet leven van de wind
• Verkoop de huid niet voordat de beer geschoten is
• Laat de kaas niet van je brood eten

Diverse maten.
Diverse kleurstellingen.",12000,12334669,2016-01-11 13:32:46 UTC,1998-05-21 21:43:34 UTC
263405621,Coloris disponibles pour personnalisation,Ce produit n&#39;est pas à vendre mais vous permet de visualiser tous les coloris de cuirs disponibles à la personnalisation des bijoux. Choisissez vos coloris et composez votre bracelet !,19,12334455,2016-01-11 13:14:34 UTC,2004-03-29 06:46:37 UTC
263405705,Kewtie Kuddlers,"Kewtie Kuddlers were inspired by the announcement of my first grandchild due to arrive in 2016.  

As a child, my own grandmother did crochet and the memories of working crochet with her provided additional inspiration.  Each Kewtie Kuddler is made with soft washable yarn and is sized to fit your newborn Kewtie up to age 6 months.  Each set is crafted with love and adorned with buttons handed down by my mother and grandmother.  

My wish is for you to cherish your Kewtie as much as I anticipate cherishing mine!  lisa

*Photos are current colors available.  More coming soon.  Want a specific color? I have many options to choose from.",6000,12334671,2016-01-11 13:23:20 UTC,1997-09-14 07:46:18 UTC
263405857,Sale Timberland Tee Shirt For Kids,"Read All Details Before Purchace...
Dont Hesitate To Contact For Further Details..
Must Read The Measurement

Ready Stock Timberland For Kids

Size Available : M, L & XL

Material : 100% Cotton

Measurement : 

Size M : Pit to pit 12.5&quot;
Lenght 16.5&quot;

Size L : Pit to pit 13&quot;
Lenght 18.5&quot;

Size XL : Pit to pit 13.5&quot;
Lenght 18.7&quot;


Payment With PAYPAL Only

Handling Period 1-3 Business Days

$15 For Economy International Shipping - Registered Air Mail ( ETA 14-21 Days )",300,12334413,2016-01-11 13:18:04 UTC,1991-03-23 07:00:03 UTC
263405861,Two tone blue stoneware pot,"A rounded stoneware pot/bowl with a dark blue glaze and a white/blue glaze.
A completely unique pot with lots of character
9.5cm width
6.5cm height",1000,12334609,2016-01-11 13:18:58 UTC,1993-04-21 16:42:48 UTC
