id,name,description,unit_price,merchant_id,created_at,updated_at
263407925,Adidas Breitner Super Fußballschuh,Adidas shoes,10000.00,12334123,2016-01-11 13:48:51 UTC,2002-03-25 20:00:24 UTC
263407971,Adidas K.H. Förster Fußballschuh,Adidas shoes,7500.00,12334123,2016-01-11 13:49:39 UTC,1975-08-19 17:07:57 UTC
263408355,Adidas Adi II Fußballschuh,Adidas shoes,15000.00,12334123,2016-01-11 13:55:12 UTC,1972-06-11 20:56:42 UTC
263408401,Adidas Ceramic Top Fußballschuh,Adidas shoes,15000.00,12334123,2016-01-11 13:55:56 UTC,1972-09-23 02:02:42 UTC
263408573,Adidas Azteca Fußballschuh,Adidas shoes,7500.00,12334123,2016-01-11 13:57:42 UTC,1978-01-30 19:07:31 UTC
263400329,Green-turned Eucalyptus Bowl,Yummy Bowl,3000.00,12334145,2016-01-11 12:02:55 UTC,1973-05-29 23:44:48 UTC
263401045,Dutch Elm Bowl,Yummy Bowl,1500.00,12334145,2016-01-11 12:02:54 UTC,1993-10-11 14:27:09 UTC
263401265,Oak Bowl,Yummy Bowl,1000.00,12334145,2016-01-11 12:02:54 UTC,1986-07-31 04:43:42 UTC
263401483,Yew Bowl,Yummy Bowl,2000.00,12334145,2016-01-11 12:02:54 UTC,2015-03-24 12:59:37 UTC
263503440,Spalted Sycamore Bowl,Yummy Bowl,2500.00,12334145,2016-01-11 12:02:55 UTC,1971-11-27 01:21:37 UTC
263503786,Field Maple Bowl,Yummy Bowl,500.00,12334145,2016-01-11 12:02:55 UTC,1984-03-22 07:51:15 UTC
263505206,Cherry Bowl,Yummy Bowl,1500.00,12334145,2016-01-11 12:02:54 UTC,1996-02-09 00:46:40 UTC
263453479,Contemplation,An ink drawing of a monk deep in thought on dark wood panel.,3500.00,12334159,2016-01-11 20:18:23 UTC,1986-04-28 10:21:41 UTC
263453997,Dimensionality,Altering dimensions of wood pieces and mixed media collage on glazed wood panel.,1500.00,12334159,2016-01-11 20:18:22 UTC,1999-08-10 15:11:50 UTC
263454259,Tranquility,Watercolor of a tranquil hut in nature on small canvas.,3500.00,12334159,2016-01-11 20:18:22 UTC,1978-08-17 06:17:23 UTC
263454935,Fated,A mixed media collage of the mingling of fate and luck on large wood block.,4000.00,12334159,2016-01-11 20:18:22 UTC,1986-08-01 04:30:54 UTC
263455983,Descent,A haunting collage of floating souls on painted and glazed wood.,3500.00,12334159,2016-01-11 20:18:21 UTC,1972-02-25 21:14:57 UTC
263556762,Connected,"Collage on wood panel, mixed media.",3500.00,12334159,2016-01-11 20:18:23 UTC,1988-01-24 10:12:51 UTC
263557180,Attack,"A pencil drawing of a stylized warrior on a 3&#39;&#39; x 3&quot; wood square, glazed and painted.",2500.00,12334159,2016-01-11 20:18:23 UTC,2002-12-18 08:05:39 UTC
263558510,Tupac,"A tribute to Tupac Shakur in ink, acrylic paint, and glitter details on wood block.",3500.00,12334159,2016-01-11 20:18:22 UTC,1993-03-19 20:41:38 UTC
263559240,Take me Home,A mixed media collage of mixed emotions in pinks and reds on tiny canvas.,2500.00,12334159,2016-01-11 20:18:22 UTC,1970-12-03 14:58:52 UTC
263428293,Necklace: Waterworks,One of a kind necklaces hand made by Jonas Litjens,1900.00,12334986,2016-01-11 20:28:17 UTC,2011-03-02 18:11:38 UTC
263428873,Necklace: Flashy Wings,One of a kind necklaces hand made by Jonas Litjens,1900.00,12334986,2016-01-11 20:28:17 UTC,1992-04-18 00:58:09 UTC
263444163,Necklace: Adidas,One of a kind necklaces hand made by Jonas Litjens,1900.00,12334986,2016-01-11 20:28:17 UTC,1982-02-13 03:13:55 UTC
263445189,Necklace: White Wire Connector,One of a kind necklaces hand made by Jonas Litjens,1900.00,12334986,2016-01-11 20:28:16 UTC,1992-06-16 03:00:05 UTC
263536428,Elmo da legionario romano tipo imperiale,Elmo romano,1000.00,12334994,2016-01-11 17:51:07 UTC,2008-09-01 01:33:09 UTC
263537168,Elmo gladiatorio: Murmillo - da costruire,Elomo Murmillo,1000.00,12334994,2016-01-11 17:51:06 UTC,1985-06-22 19:11:34 UTC
263537372,Elmo da legionario romano da costruire,Elmo romano,800.00,12334994,2016-01-11 17:51:06 UTC,1983-05-18 17:10:43 UTC
263537990,Elmo gladiatorio: Trace A - da costruire,Elmo Trace,1000.00,12334994,2016-01-11 17:51:06 UTC,1991-03-09 00:41:36 UTC
