id,name,description,unit_price,merchant_id,created_at,updated_at
263408315,"Hand-made statement necklace, aluminum with crystals and solve other metals,JEWELRY,FUN,FASHION,stylish","Statement necklace perfect for special occasions or nights out, unique design,",3000,12334771,2016-01-11 14:01:06 UTC,2009-05-01 03:36:54 UTC
263408355,Adidas Adi II Fußballschuh,Adidas Adi II mit Schraubstollen inkl. der Originalverpackung. Hergestellt ab dem Jahr 1984.,15000,12334123,2016-01-11 13:55:12 UTC,1972-06-11 20:56:42 UTC
263408401,Adidas Ceramic Top Fußballschuh,Adidas Ceramic Top mit der sehr seltenen Sohle mit kleinen Nocken inkl. der Originalverpackung. Hergestellt ab dem Jahr 1985.,15000,12334123,2016-01-11 13:55:56 UTC,1972-09-23 02:02:42 UTC
263408523,Darcy - Day at the Spa,"&quot;Darcy&quot; - Day at the Spa Scent.
Hand Wicked and Hand Poured, Small Batch Candles.
Natural Soy Wax.
Natural Wick. 
Reusable Tin Container.
Available in two sizes: 8 oz or 4 oz.
8 oz. Burn Time: 30-32 hours
4 oz. Burn Time: 15 hours

Due to the handmade nature of our products, there may be a slight variation in the coloring or burn time of your candle. We strive to make all of our candles with highest quality materials and utmost care.",795,12334727,2016-01-11 17:12:39 UTC,1998-12-18 19:32:09 UTC
263408574,Adidas Azteca Fußballschuh,Adidas Azteca mit Schraubstollen und silbernen Streifen. Hergestellt ab dem Jahr 1986.,7500,12334123,2016-01-11 13:57:42 UTC,1978-01-30 19:07:31 UTC
263408573,Adidas Azteca Fußballschuh,Adidas Azteca mit Schraubstollen und silbernen Streifen. Hergestellt ab dem Jahr 1986.,7500,12334123,2016-01-11 13:57:42 UTC,1978-01-30 19:07:31 UTC
263408639,Adidas Aberdeen Fußballschuh,Adidas Aberdeen mit der Tausendfüssler-Sohle. Hergestellt ab dem Jahr 1986.,7500,12334123,2016-01-11 13:58:35 UTC,2008-02-07 21:55:58 UTC
263408721,Tommy - Oakmoss & Amber,"&quot;Tommy&quot; - Oakmoss & Amber Scent.
Hand Wicked and Hand Poured, Small Batch Candles.
Natural Soy Wax.
Natural Wick. 
Reusable Tin Container.
Available in two sizes: 8 oz or 4 oz.
8 oz. Burn Time: 30-32 hours
4 oz. Burn Time: 15 hours

Due to the handmade nature of our products, there may be a slight variation in the coloring or burn time of your candle. We strive to make all of our candles with highest quality materials and utmost care.",795,12334727,2016-01-11 17:12:39 UTC,1975-03-24 10:03:18 UTC
263408741,Adidas Brazil Fußballschuh,"Adidas Brazil mit der Tausendfüssler-Sohle, die sich leider auflößt. Hergestellt ab dem Jahr 1983.",7500,12334123,2016-01-11 13:59:50 UTC,1970-07-31 12:13:30 UTC
263408869,Adidas Nottingham Fußballschuh,Adidas Nottingham mit Nocken und den silber roten Streifen. Hergestellt ab dem Jahr 1986.,10000,12334123,2016-01-11 14:01:51 UTC,1970-07-22 10:11:58 UTC
263408935,Adidas Hattrick Fußballschuh,Adidas Hattrick mit Schraubstollen. Hergestellt ab dem Jahr 1986.,10000,12334123,2016-01-11 14:02:35 UTC,2012-05-09 23:35:57 UTC
263409021,Adidas Penarol Cup Fußballschuh,Adidas Penarol Cup mit Nocken inkl. der Originalverpackung. Hergestellt ab dem Jahr 1987.,15000,12334123,2016-01-11 14:03:35 UTC,2002-04-21 01:06:27 UTC
